,,,,,,,
Year,Source,Product Name,Country Name,Volume (kg),Value (USD),Calculated Duty (USD),Edible code
1984,IMP,"GROUNDFISH CUSK,HADDOCK,HAKE,POLLOCK FILLET FRESH > QUOTA",PORTUGAL,85,408,,E
1988,IMP,"GROUNDFISH CUSK,HADDOCK,HAKE,POLLOCK FILLET FROZEN",SPAIN,"5,344","18,850",,E
1980,IMP,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,ICELAND,579,"1,081",,E
1978,IMP,GROUNDFISH OCEAN PERCH ATLANTIC FILLET FRESH/FROZEN > QUOTA,SPAIN,"15,992","21,760",,E
1979,IMP,"GROUNDFISH CUSK,HADDOCK,HAKE,POLLOCK FROZEN",PORTUGAL,216,422,,E
1977,IMP,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,GERMANY,"18,262","30,758",,E
1980,IMP,GROUNDFISH COD NSPF FILLET FROZEN > QUOTA,ICELAND,"4,082","10,118",,E
1976,IMP,GROUNDFISH COD NSPF FILLET FROZEN IN QUOTA,DENMARK,"2,268","5,161",,E
1987,IMP,GROUNDFISH COD NSPF FILLET FRESH,ICELAND,463,"1,741",,E
1973,IMP,"GROUNDFISH CUSK,HADDOCK,HAKE,POLLOCK FILLET FROZEN > QUOTA",NORWAY,386,680,,E
1973,IMP,"GROUNDFISH CUSK,HADDOCK,HAKE,POLLOCK FILLET FRESH > QUOTA",UNITED KINGDOM,"2,449","2,052",,E
1986,IMP,"GROUNDFISH CUSK,HADDOCK,HAKE,POLLOCK FILLET FRESH > QUOTA",IRELAND,"1,425","6,615",,E
1985,IMP,GROUNDFISH OCEAN PERCH ATLANTIC FILLET FRESH/FROZEN > QUOTA,ICELAND,"10,995","35,875",,E
1984,IMP,GROUNDFISH POLLOCK NSPF FILLET BLOCKS FROZEN > 4.5KG,GERMANY,"63,990","86,559",,E
1982,IMP,"GROUNDFISH CUSK,HADDOCK,HAKE,POLLOCK FILLET FROZEN > QUOTA",UNITED KINGDOM,"17,713","37,577",,E
1983,IMP,GROUNDFISH OCEAN PERCH ATLANTIC FILLET BLOCKS FROZEN > 4.5KG,GERMANY,"99,930","145,403",,E
1975,IMP,GROUNDFISH COD NSPF FILLET BLOCKS FROZEN > 4.5KG,SPAIN,"48,761","103,040",,E
1975,IMP,"GROUNDFISH COD,CUSK,HADDOCK,HAKE,POLLOCK DRIED",NORWAY,"6,350","15,499",,E
1980,IMP,"GROUNDFISH CUSK,HADDOCK,HAKE,POLLOCK FRESH",IRELAND,"4,722","15,615",,E
1981,IMP,GROUNDFISH OCEAN PERCH ATLANTIC FILLET BLOCKS FROZEN > 4.5KG,NORWAY,"2,694","4,772",,E
1972,IMP,GROUNDFISH HADDOCK FILLET BLOCKS FROZEN > 4.5KG,NORWAY,"17,962","23,760",,E
1972,IMP,"GROUNDFISH COD,CUSK,EELS,HADDOCK,HAKE,POLLOCK,SHAD FRESH/FROZEN",NETHERLANDS,"3,626","7,995",,E
1987,IMP,GROUNDFISH COD NSPF FILLET FROZEN > QUOTA,FRANCE,"17,890","87,848",,E
1987,IMP,"GROUNDFISH COD,CUSK,HADDOCK,HAKE,POLLOCK DRIED",ICELAND,200,"4,212",,E
1983,IMP,GROUNDFISH HADDOCK FILLET BLOCKS FROZEN > 4.5KG,DENMARK,"39,516","88,910",,E
1984,IMP,GROUNDFISH COD NSPF FILLET FRESH > QUOTA,FRANCE,29,266,,E
1985,IMP,GROUNDFISH COD NSPF FILLET FROZEN > QUOTA,ICELAND,"3,402","13,323",,E
1984,IMP,GROUNDFISH COD NSPF FILLET FROZEN > QUOTA,DENMARK,"2,722","8,760",,E
1985,IMP,"GROUNDFISH COD,CUSK,HADDOCK,HAKE,POLLOCK SALTED PROCESSED",ICELAND,582,"1,913",,E
1988,IMP,"GROUNDFISH COD,CUSK,HADDOCK,HAKE,POLLOCK SALTED WHOLE/DRESS",GERMANY,"7,235","43,674",,E
1986,IMP,GROUNDFISH OCEAN PERCH ATLANTIC FRESH/FROZEN,PORTUGAL,"9,879","7,405",,E
1982,IMP,"GROUNDFISH COD,CUSK,HADDOCK,HAKE,POLLOCK SALTED PROCESSED",NORWAY,287,"5,559",,E
1984,IMP,"GROUNDFISH COD,CUSK,HADDOCK,HAKE,POLLOCK,OCEAN PERCH FILLET IN QUOTA",NETHERLANDS,"16,795","90,533",,E
1983,IMP,"GROUNDFISH CUSK,HADDOCK,HAKE,POLLOCK FROZEN",PORTUGAL,"1,862","7,600",,E
1978,IMP,"GROUNDFISH COD,CUSK,HADDOCK,HAKE,POLLOCK DRIED",NORWAY,750,"4,032",,E
1975,IMP,GROUNDFISH COD NSPF FILLET FRESH > QUOTA,BELGIUM,"6,749","8,334",,E
1972,IMP,"GROUNDFISH CUSK,HADDOCK,HAKE,POLLOCK FILLET FRESH > QUOTA",DENMARK,"2,041","2,385",,E
1974,IMP,GROUNDFISH OCEAN PERCH ATLANTIC FILLET FRESH/FROZEN > QUOTA,UNITED KINGDOM,"1,225","1,485",,E
1977,IMP,"GROUNDFISH COD,CUSK,HADDOCK,HAKE,POLLOCK DRIED",NORWAY,"1,800","5,509",,E
1986,IMP,GROUNDFISH COD NSPF FILLET BLOCKS FROZEN > 4.5KG,NETHERLANDS,59,"1,637",,E
1984,IMP,GROUNDFISH OCEAN PERCH ATLANTIC FRESH/FROZEN,FRANCE,135,674,,E
1985,IMP,"GROUNDFISH CUSK,HADDOCK,HAKE,POLLOCK FILLET FROZEN > QUOTA",FRANCE,"9,940","21,914",,E
1977,IMP,"GROUNDFISH COD,CUSK,HADDOCK,HAKE,POLLOCK SMOKED PROCESSED",IRELAND,"4,082","8,550",,E
1979,IMP,GROUNDFISH POLLOCK NSPF SMOKED CANNED IN OIL,NORWAY,532,"4,927",,E
1975,IMP,"GROUNDFISH COD,CUSK,HADDOCK,HAKE,POLLOCK SMOKED WHOLE/PROCESSED",UNITED KINGDOM,318,586,,E
1974,IMP,"GROUNDFISH COD,CUSK,HADDOCK,HAKE,POLLOCK SMOKED PROCESSED",UNITED KINGDOM,"2,722","3,600",,E
1975,IMP,GROUNDFISH OCEAN PERCH ATLANTIC FRESH,FRANCE,100,633,,E
1974,IMP,GROUNDFISH HADDOCK FILLET BLOCKS FROZEN > 4.5KG,ICELAND,"4,050","3,010",,E
2008,IMP,GROUNDFISH COD ATLANTIC FRESH,UNITED KINGDOM,967,"10,889",0,E
2008,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,NORWAY,"3,924","54,716",0,E
2007,IMP,GROUNDFISH COD NSPF MEAT FROZEN > 6.8KG,PORTUGAL,"12,595","13,050",0,E
2008,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"3,795","105,060",0,E
2008,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,450,"7,200",0,E
2008,IMP,GROUNDFISH COD ATLANTIC FILLET BLOCKS FROZEN > 4.5KG,ICELAND,"89,815","501,600",0,E
2009,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"54,244","988,050",0,E
2009,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,SPAIN,"1,346","18,608",0,E
2009,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"126,099","1,382,203",0,E
2009,IMP,GROUNDFISH COD NSPF FROZEN,UNITED KINGDOM,"2,342","15,954",0,E
2009,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,NORWAY,"88,250","1,026,205",0,E
2009,IMP,GROUNDFISH COD ATLANTIC FILLET BLOCKS FROZEN > 4.5KG,ICELAND,"111,367","536,263",0,E
2009,IMP,GROUNDFISH OCEAN PERCH ATLANTIC FILLET FROZEN,ICELAND,"4,763","22,575",0,E
2009,IMP,GROUNDFISH HADDOCK FROZEN,UNITED KINGDOM,"17,569","51,784",0,E
2009,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"1,024","11,252",0,E
2009,IMP,GROUNDFISH POLLOCK NSPF FILLET FROZEN,PORTUGAL,"1,392","7,972",0,E
2009,IMP,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,PORTUGAL,"2,952","11,635",0,E
2009,IMP,GROUNDFISH HADDOCK FILLET FROZEN,NORWAY,"1,984","18,156",0,E
2014,IMP,GROUNDFISH COD NSPF DRIED,PORTUGAL,"113,196","925,888",0,E
2014,IMP,GROUNDFISH COD NSPF FROZEN,SPAIN,"9,017","78,263",0,E
2014,IMP,GROUNDFISH HADDOCK FILLET FROZEN,NORWAY,"1,124,231","5,856,216",0,E
2014,IMP,GROUNDFISH POLLOCK ATLANTIC FILLET FROZEN,ICELAND,"208,768","944,324",0,E
2014,IMP,GROUNDFISH COD NSPF FILLET FROZEN,UNITED KINGDOM,"4,953","40,416",0,E
2014,IMP,GROUNDFISH COD NSPF FILLET FROZEN,PORTUGAL,"5,683","32,825",0,E
2014,IMP,GROUNDFISH COD ATLANTIC FRESH,NORWAY,"8,398","59,539",0,E
2014,IMP,GROUNDFISH COD ATLANTIC FRESH,NORWAY,"3,551","24,026",0,E
2014,IMP,GROUNDFISH HADDOCK FRESH,NORWAY,"18,125","71,118",0,E
2015,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"24,250","214,350",0,E
2015,IMP,GROUNDFISH COD NSPF DRIED,PORTUGAL,"115,767","989,349",0,E
2015,IMP,GROUNDFISH HADDOCK FRESH,NORWAY,"23,785","112,069",0,E
2015,IMP,GROUNDFISH POLLOCK NSPF FRESH,ICELAND,"34,441","115,733",0,E
2014,IMP,GROUNDFISH HADDOCK MEAT FRESH,ICELAND,"1,160","14,901",0,E
2011,IMP,GROUNDFISH COD NSPF MEAT FROZEN > 6.8KG,SPAIN,346,"7,728",0,E
2011,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,SPAIN,"8,011","75,136",0,E
2015,IMP,GROUNDFISH HADDOCK FILLET FROZEN,NORWAY,"526,654","2,956,000",0,E
2015,IMP,GROUNDFISH POLLOCK ATLANTIC FILLET FROZEN,ICELAND,"212,143","1,140,811",0,E
2011,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,PORTUGAL,"6,570","20,958",0,E
2015,IMP,GROUNDFISH COD ATLANTIC MEAT FRESH,ICELAND,"13,583","177,434",0,E
2015,IMP,GROUNDFISH NSPF MEAT FRESH,UNITED KINGDOM,"6,919","85,405",0,E
2010,IMP,GROUNDFISH COD NSPF FRESH,FRANCE,428,"4,254",0,E
2010,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,ICELAND,"1,089,880","8,099,341",0,E
2010,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,PORTUGAL,"7,806","46,684",0,E
2010,IMP,GROUNDFISH COD NSPF DRIED,SPAIN,"3,480","38,867",0,E
2010,IMP,GROUNDFISH COD ATLANTIC FRESH,ICELAND,"30,615","238,186",0,E
2010,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,NORWAY,"123,602","1,426,899",0,E
2010,IMP,GROUNDFISH COD NSPF FRESH,ICELAND,"13,956","125,235",0,E
2010,IMP,GROUNDFISH HADDOCK FILLET BLOCKS FROZEN > 4.5KG,ICELAND,"583,974","2,640,583",0,E
2010,IMP,GROUNDFISH COD ATLANTIC FRESH,FRANCE,"1,463","5,737",0,E
2010,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,SPAIN,"2,370","25,961",0,E
2010,IMP,"GROUNDFISH CUSK,POLLOCK FILLET FRESH",ICELAND,272,"2,310",0,E
2010,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,NORWAY,"7,938","77,655",0,E
2011,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,NORWAY,538,"5,677",0,E
2010,IMP,GROUNDFISH COD NSPF DRIED,ICELAND,"2,336","13,223",0,E
2011,IMP,GROUNDFISH COD NSPF FILLET BLOCKS FROZEN > 4.5KG,NORWAY,"19,555","111,974",0,E
2011,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,NORWAY,"2,567","12,742",0,E
2013,IMP,GROUNDFISH HADDOCK FILLET BLOCKS FROZEN > 4.5KG,NORWAY,"55,682","271,566",0,E
2013,IMP,GROUNDFISH HADDOCK FILLET FROZEN,ICELAND,"555,862","4,731,625",0,E
2013,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"710,431","7,772,742",0,E
2013,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"1,175,001","16,434,580",0,E
2013,IMP,GROUNDFISH COD ATLANTIC FRESH,NORWAY,"9,518","57,716",0,E
2013,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"200,634","2,658,311",0,E
2011,IMP,"GROUNDFISH HAKE,WHITING FROZEN",PORTUGAL,480,"3,024",0,E
2013,IMP,GROUNDFISH COD NSPF SALTED MOISTURE CONTENT NOT > 43%,NORWAY,"14,410","74,198",0,E
2013,IMP,GROUNDFISH COD ATLANTIC FRESH,NORWAY,"8,248","56,349",0,E
2013,IMP,GROUNDFISH HADDOCK FRESH,NORWAY,"363,423","1,414,444",0,E
2013,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"4,309","52,990",0,E
2012,IMP,GROUNDFISH HADDOCK FILLET BLOCKS FROZEN > 4.5KG,ICELAND,"488,880","2,818,768",0,E
2012,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE,SPAIN,"2,123","24,899",0,E
2012,IMP,GROUNDFISH NSPF FILLET DRIED/SALTED/BRINE,NORWAY,"163,339","533,580",0,E
2012,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"17,390","338,338",0,E
2012,IMP,GROUNDFISH COD NSPF FRESH,NORWAY,"241,139","775,237",0,E
2012,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"989,396","13,505,867",0,E
2012,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"76,252","1,015,092",0,E
2012,IMP,GROUNDFISH COD NSPF FILLET FROZEN,ICELAND,"2,158,424","16,657,256",0,E
2012,IMP,GROUNDFISH HADDOCK MEAT FROZEN > 6.8KG,ICELAND,"25,955","215,202",0,E
2012,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"54,574","700,292",0,E
2012,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"67,235","1,518,495",0,E
2012,IMP,GROUNDFISH COD NSPF FRESH,NETHERLANDS,"2,146","35,376",0,E
2012,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"149,641","2,431,697",0,E
2012,IMP,GROUNDFISH COD NSPF FILLET FROZEN,PORTUGAL,880,"7,989",0,E
2012,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"4,330","56,990",0,E
2012,IMP,GROUNDFISH COD NSPF FILLET FROZEN,NORWAY,"4,221","33,170",0,E
2012,IMP,GROUNDFISH COD NSPF FILLET FROZEN,SPAIN,664,"8,301",0,E
2012,IMP,GROUNDFISH HADDOCK FILLET FROZEN,NORWAY,"27,588","140,690",0,E
2012,IMP,GROUNDFISH NSPF FROZEN,PORTUGAL,"2,156","13,269",0,E
2012,IMP,GROUNDFISH OCEAN PERCH ATLANTIC FILLET FROZEN,ICELAND,"1,996","20,352",0,E
2012,IMP,GROUNDFISH HAKE FRESH,PORTUGAL,322,"2,248",0,E
2012,IMP,GROUNDFISH COD NSPF FROZEN,PORTUGAL,"5,097","53,348",0,E
2012,IMP,GROUNDFISH COD NSPF FROZEN,PORTUGAL,"1,944","7,469",0,E
2012,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,998,"12,540",0,E
2013,IMP,GROUNDFISH COD NSPF MINCED FROZEN > 6.8KG,ICELAND,"94,602","177,976",0,E
2013,IMP,GROUNDFISH POLLOCK NSPF SALTED WHOLE/DRESSED,NORWAY,"29,873","74,912",0,E
2013,IMP,GROUNDFISH POLLOCK ATLANTIC FILLET BLOCKS FROZEN > 4.5KG,ICELAND,"9,720","51,419",0,E
2013,IMP,GROUNDFISH COD NSPF FILLET FROZEN,SPAIN,506,"4,265",0,E
2015,IMP,GROUNDFISH NSPF FROZEN,SWEDEN,"10,240","12,288",0,E
2014,IMP,GROUNDFISH NSPF MEAT FRESH,UNITED KINGDOM,"9,680","84,645",0,E
2015,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"1,428,259","18,017,596",0,E
2013,IMP,"GROUNDFISH COD,CUSK,HADDOCK,HAKE,POLLOCK SMOKED",UNITED KINGDOM,95,"5,712",0,E
2015,IMP,GROUNDFISH COD NSPF FILLET FROZEN,PORTUGAL,"6,823","64,165",0,E
2015,IMP,GROUNDFISH COD NSPF FRESH,NORWAY,"30,193","178,474",0,E
2015,IMP,GROUNDFISH COD NSPF FILLET FRESH,ICELAND,"23,142","340,616",0,E
2015,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE,NORWAY,"104,589","944,163",0,E
2015,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"11,556","169,435",0,E
2016,IMP,GROUNDFISH COD ATLANTIC FRESH,ICELAND,"549,875","2,963,300",0,E
2016,IMP,GROUNDFISH COD ATLANTIC FRESH,NORWAY,"4,686","24,960",0,E
2016,IMP,GROUNDFISH COD ATLANTIC FRESH,NORWAY,"6,209","37,530",0,E
2016,IMP,GROUNDFISH COD NSPF FRESH,UNITED KINGDOM,508,"2,688",0,E
2016,IMP,GROUNDFISH POLLOCK NSPF FRESH,ICELAND,"49,958","177,683",0,E
2016,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"223,730","2,285,595",0,E
2016,IMP,GROUNDFISH COD NSPF MINCED FROZEN > 6.8KG,ICELAND,"173,631","341,650",0,E
2016,IMP,GROUNDFISH HADDOCK FROZEN,NORWAY,"5,934,575","15,983,444",0,E
2016,IMP,GROUNDFISH COD NSPF FILLET BLOCKS FROZEN > 4.5KG,NORWAY,"360,453","1,586,420",0,E
2016,IMP,GROUNDFISH COD NSPF FILLET FROZEN,ICELAND,"3,781,923","32,342,934",0,E
2016,IMP,GROUNDFISH COD NSPF FILLET FROZEN,SPAIN,576,"4,530",0,E
2016,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"12,866","150,023",0,E
2016,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"159,172","1,909,316",0,E
2016,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,DENMARK,"2,396","25,544",0,E
2016,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"896,586","12,497,461",0,E
2016,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"7,177","102,914",0,E
2016,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"129,454","1,638,896",0,E
2016,IMP,GROUNDFISH POLLOCK ATLANTIC FILLET FROZEN,ICELAND,"93,702","417,054",0,E
2014,IMP,GROUNDFISH HADDOCK FILLET BLOCKS FROZEN > 4.5KG,NORWAY,"3,341","29,568",0,E
2015,IMP,GROUNDFISH NSPF FILLET FROZEN,UNITED KINGDOM,510,"5,670",0,E
2016,IMP,GROUNDFISH NSPF FILLET FROZEN,ICELAND,"362,002","1,817,635",0,E
2014,IMP,GROUNDFISH WHITING FILLET BLOCKS FROZEN > 4.5KG,PORTUGAL,"8,484","20,183",0,E
2015,IMP,GROUNDFISH HADDOCK MEAT FRESH,ICELAND,609,"8,506",0,E
2015,IMP,GROUNDFISH COD ATLANTIC FRESH,SPAIN,290,"2,472",0,E
2015,IMP,GROUNDFISH COD NSPF FILLET FRESH,ICELAND,325,"4,334",0,E
2015,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"7,267","96,771",0,E
2015,IMP,GROUNDFISH HADDOCK FROZEN,ICELAND,"66,717","274,369",0,E
2015,IMP,GROUNDFISH CUSK FROZEN,NORWAY,"2,700","46,709",0,E
2016,IMP,GROUNDFISH COD ATLANTIC FRESH,NORWAY,"51,893","333,945",0,E
2014,IMP,GROUNDFISH NSPF FILLET DRIED/SALTED/BRINE,NORWAY,"7,360","85,800",0,E
2015,IMP,GROUNDFISH COD NSPF FILLET FROZEN,ICELAND,454,"5,500",0,E
2016,IMP,GROUNDFISH HADDOCK MEAT FRESH,ICELAND,572,"8,215",0,E
2016,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"148,026","2,437,513",0,E
2014,IMP,GROUNDFISH OCEAN PERCH NSPF FRESH,FRANCE,411,"3,625",0,E
2015,IMP,GROUNDFISH OCEAN PERCH ATLANTIC MEAT FRESH,PORTUGAL,626,"2,112",0,E
2015,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,NETHERLANDS,253,"2,843",0,E
2014,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE,PORTUGAL,"12,125","101,310",0,E
2015,IMP,GROUNDFISH COD ATLANTIC FRESH,DENMARK,"1,789","14,632",0,E
2014,IMP,GROUNDFISH HADDOCK MEAT FRESH,ICELAND,227,"3,200",0,E
2016,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,181,"2,300",0,E
2016,IMP,GROUNDFISH OCEAN PERCH ATLANTIC FILLET FROZEN,PORTUGAL,"1,564","8,887",0,E
2016,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE,PORTUGAL,"21,170","149,864",0,E
2016,IMP,GROUNDFISH COD ATLANTIC MEAT FRESH,ICELAND,907,"12,840",0,E
2014,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,NORWAY,"4,342","47,981",0,E
2016,IMP,GROUNDFISH COD NSPF FILLET BLOCKS FROZEN > 4.5KG,NORWAY,"60,905","225,350",0,E
2017,IMP,GROUNDFISH COD NSPF FRESH,ICELAND,"4,898","42,172",0,E
2016,IMP,GROUNDFISH POLLOCK NSPF FILLET FRESH,ICELAND,612,"5,400",0,E
2016,IMP,GROUNDFISH COD ATLANTIC FROZEN,NORWAY,"7,275","21,826",0,E
2016,IMP,GROUNDFISH COD NSPF FRESH,NORWAY,655,"5,915",0,E
2017,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"142,500","1,604,525",0,E
2017,IMP,GROUNDFISH COD NSPF FILLET FRESH,ICELAND,"33,951","411,802",0,E
2017,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"20,137","275,526",0,E
2017,IMP,GROUNDFISH COD ATLANTIC MEAT FRESH,ICELAND,"26,449","351,370",0,E
2017,IMP,GROUNDFISH NSPF MEAT FRESH,ICELAND,"124,018","1,061,136",0,E
2017,IMP,GROUNDFISH COD NSPF FILLET BLOCKS FROZEN > 4.5KG,PORTUGAL,"3,288","12,164",0,E
2017,IMP,GROUNDFISH COD ATLANTIC FRESH,NORWAY,"17,902","85,035",0,E
2017,IMP,GROUNDFISH COD ATLANTIC FRESH,NORWAY,"5,099","30,250",0,E
2017,IMP,GROUNDFISH POLLOCK NSPF FRESH,ICELAND,"60,136","240,368",0,E
2017,IMP,GROUNDFISH COD ATLANTIC FROZEN,SPAIN,149,"2,077",0,E
2017,IMP,GROUNDFISH NSPF FROZEN,DENMARK,"3,336","4,995",0,E
2017,IMP,GROUNDFISH COD ATLANTIC MEAT FRESH,ICELAND,"1,533","18,459",0,E
2017,IMP,GROUNDFISH COD ATLANTIC FRESH,NORWAY,"2,965","15,085",0,E
2017,IMP,"GROUNDFISH COD,CUSK,HADDOCK,HAKE,POLLOCK SMOKED",PORTUGAL,"1,600","6,754",0,E
2017,IMP,GROUNDFISH COD ATLANTIC FROZEN,PORTUGAL,"1,840","15,730",0,E
2017,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"28,035","381,252",0,E
2017,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,NORWAY,"1,220","10,614",0,E
2017,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,NORWAY,"1,790","19,347",0,E
2017,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"8,100","142,200",0,E
2017,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,598,"11,700",0,E
2017,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,SPAIN,872,"19,600",0,E
2017,IMP,GROUNDFISH COD NSPF MEAT FRESH,ICELAND,630,"7,595",0,E
2017,IMP,GROUNDFISH COD ATLANTIC FRESH,ICELAND,"7,513","75,834",0,E
2017,IMP,GROUNDFISH COD NSPF FILLET FROZEN,PORTUGAL,"16,982","166,680",0,E
2017,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,UNITED KINGDOM,"1,190","14,429",0,E
2017,IMP,GROUNDFISH POLLOCK NSPF FRESH,ICELAND,"1,520","6,702",0,E
2017,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE,ICELAND,480,"5,275",0,E
2017,IMP,GROUNDFISH COD ATLANTIC MEAT FRESH,ICELAND,"2,599","39,114",0,E
2017,IMP,GROUNDFISH HADDOCK FROZEN,ICELAND,"62,497","193,116",0,E
2017,IMP,GROUNDFISH COD ATLANTIC FRESH,ICELAND,"1,335","14,208",0,E
2018,IMP,GROUNDFISH COD NSPF FILLET BLOCKS FROZEN > 4.5KG,ICELAND,"420,877","2,754,144",0,E
2018,IMP,GROUNDFISH COD NSPF FILLET FROZEN,ICELAND,"4,304,100","39,603,404",0,E
2018,IMP,GROUNDFISH HAKE FILLET BLOCKS FROZEN > 4.5KG,PORTUGAL,480,"2,045",0,E
2018,IMP,GROUNDFISH COD ATLANTIC MEAT FRESH,ICELAND,"153,767","2,030,837",0,E
2018,IMP,GROUNDFISH COD NSPF MEAT FRESH,ICELAND,"3,800","54,598",0,E
2017,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,317,"3,710",0,E
2018,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"964,179","11,349,324",0,E
2018,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"43,606","553,246",0,E
2018,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"129,535","1,422,986",0,E
2018,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,NORWAY,"55,418","174,525",0,E
2018,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"54,190","770,581",0,E
2018,IMP,GROUNDFISH HADDOCK FILLET FRESH,NORWAY,"3,440","49,553",0,E
2018,IMP,GROUNDFISH COD ATLANTIC MEAT FRESH,ICELAND,"13,659","201,708",0,E
2018,IMP,GROUNDFISH NSPF MEAT FRESH,ICELAND,307,"4,196",0,E
2018,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,UNITED KINGDOM,"2,000","10,600",0,E
2018,IMP,GROUNDFISH HADDOCK FROZEN,ICELAND,"61,045","220,153",0,E
2018,IMP,GROUNDFISH NSPF FILLET FROZEN,PORTUGAL,"4,824","15,697",0,E
2018,IMP,GROUNDFISH HADDOCK MEAT FRESH,NORWAY,"160,060","2,013,908",0,E
2018,IMP,"GROUNDFISH COD,CUSK,HADDOCK,HAKE,POLLOCK SMOKED",UNITED KINGDOM,"2,625","23,920",0,E
2018,IMP,GROUNDFISH NSPF FILLET DRIED/SALTED/BRINE,PORTUGAL,"1,502","5,833",0,E
2018,IMP,GROUNDFISH COD ATLANTIC MEAT FRESH,ICELAND,"20,416","190,248",0,E
2018,IMP,GROUNDFISH HADDOCK MEAT FRESH,ICELAND,"1,699","22,677",0,E
2018,IMP,GROUNDFISH HADDOCK MEAT FRESH,ICELAND,"1,098","16,131",0,E
2021,IMP,GROUNDFISH COD NSPF DRIED,PORTUGAL,"123,511","1,219,580",0,E
